0.5873865265169613
class4,p 
nonevent,0.47228285476976395
nonevent,0.3880654463248133
II,0.9613354934284443
II,0.9809091329607214
nonevent,0.007133377414769715
II,0.9801644187732366
nonevent,0.00626868349828924
nonevent,0.005778451668112972
II,0.8436315287954457
nonevent,0.2605451737036937
nonevent,0.26478068438003066
II,0.5979599234799667
nonevent,0.08375665763597107
nonevent,0.5787694107339031
II,0.778429063858085
nonevent,0.07182838555931703
II,0.7785259924785902
nonevent,0.4972295585109431
Ib,0.9954146318310675
nonevent,0.020119093432282575
nonevent,0.18183928082061618
nonevent,0.02618556627993729
nonevent,0.6242190544940731
nonevent,0.4250797034622843
nonevent,0.03430313885818059
II,0.9477992886627585
nonevent,0.004482402020219323
II,0.6243127759573535
nonevent,0.21055342424768553
nonevent,0.010075387514418055
nonevent,0.020981492614122743
Ib,0.985168023328632
nonevent,0.02657555978477466
II,0.7210653902069819
II,0.9961994067517687
II,0.9152080832286689
II,0.9741096691692355
nonevent,0.11762951558158607
II,0.8659791884035877
nonevent,0.09602610229535324
nonevent,0.0353882178222823
Ib,0.9911136142392214
II,0.8789199477930065
nonevent,0.21597106070158345
II,0.8867625154563976
nonevent,0.004786503730445535
II,0.8678868411184383
II,0.6989960258663539
II,0.7331645415788711
II,0.7208685266328104
Ib,0.9943410486008349
nonevent,0.02066436359056778
nonevent,0.03294476641835098
II,0.9679989618893562
nonevent,0.24673671731378433
nonevent,0.0783593670118885
II,0.7015999185276295
nonevent,0.32597031067476867
II,0.9947268542399907
nonevent,0.06087377492773327
nonevent,0.08451563009652607
II,0.691634571449335
nonevent,0.10931989927961794
Ib,0.8784082525089725
II,0.9918985527017279
nonevent,0.08449370417721713
nonevent,0.023275457329055893
II,0.9856020494574783
II,0.9469086125689338
Ib,0.9839766008102743
II,0.9073392870796855
Ib,0.9971892944882798
nonevent,0.19429750830200365
nonevent,0.0196251281918548
nonevent,0.009831891911042723
II,0.9506096723466461
nonevent,0.2178657834173512
II,0.8639133604519791
nonevent,0.02574421640278124
nonevent,0.39629767345107614
II,0.9749903844470972
II,0.7104820075493562
nonevent,0.0327817401006637
nonevent,0.018277856467950437
II,0.7314956355943271
nonevent,0.3822937613108829
nonevent,0.028959608636933254
nonevent,0.058426395903671824
nonevent,0.07114739613867793
II,0.884750226907903
nonevent,0.3217716388416274
nonevent,0.03209424485447321
nonevent,0.005334861596277496
Ia,0.9875315681052305
II,0.9240376757307303
nonevent,0.2772974858451436
nonevent,0.003873964148872422
II,0.8308790850970194
nonevent,0.09004615981054498
Ib,0.9989496900700947
nonevent,0.1567084640276949
nonevent,0.10349802656448237
II,0.98542473254203
nonevent,0.3977806344740511
nonevent,0.5740930723880753
nonevent,0.05078968400393524
II,0.9959872430381399
nonevent,0.007404726372468473
II,0.8816477873931564
nonevent,0.5582163956688071
nonevent,0.32770117849414215
nonevent,0.014318272565526424
nonevent,0.3855400449236136
nonevent,0.03312009343374789
nonevent,0.6506886747150472
Ib,0.983237103823476
nonevent,0.0835493334587647
Ib,0.9965178080627713
II,0.8445891884261634
nonevent,0.09704083930516916
II,0.6880791979875667
Ib,0.9973537635334843
nonevent,0.3722401591209249
Ib,0.9971730756203455
nonevent,0.40114521984339413
nonevent,0.4582261310950816
II,0.87079384715207
II,0.9618794965855928
nonevent,0.006323383404743144
II,0.6898721446257611
nonevent,0.0012461099166007905
nonevent,0.13630815427117948
nonevent,0.07491507030942812
II,0.7626591562241651
II,0.9883759364835942
II,0.9808354719996664
nonevent,0.02753788688417602
II,0.8900466144574656
nonevent,0.5798000508295635
II,0.7310195320366739
nonevent,0.12233095438177355
II,0.9946672652211739
II,0.9675107194742302
II,0.6822700849415246
nonevent,0.10415757498439537
nonevent,0.318381930757473
nonevent,0.23738576895189756
nonevent,0.0688167274770497
Ib,0.9962851011709689
Ib,0.9991155556818639
nonevent,0.5088312501368832
nonevent,0.01204234402757054
Ib,0.8954409120250394
II,0.6385016128881247
Ib,0.9467303239816909
II,0.6515263325583089
nonevent,0.04212563860264307
Ib,0.9516001408381786
II,0.7882059116031889
nonevent,0.09750720819757563
nonevent,0.0263679275702996
nonevent,0.5285183034964631
nonevent,0.40667548685777033
nonevent,0.02343148175652665
nonevent,0.06412641181726342
II,0.9043422799907268
nonevent,0.3841692510103082
nonevent,0.19425350438082056
nonevent,0.0030344830667830003
nonevent,0.44478542702184265
nonevent,0.03209011550429175
nonevent,0.013357522892573082
nonevent,0.3247591445487211
II,0.9897204273560579
nonevent,0.08437322131508274
nonevent,0.00726765233052884
II,0.8203287499188652
II,0.8080571929296942
II,0.9966773345990205
II,0.9345072772258884
II,0.9644989752323535
II,0.9554082496058319
nonevent,0.0810610161005173
nonevent,0.23248491469702048
nonevent,0.24379701298630818
nonevent,0.6328881031354787
II,0.9712309642074666
nonevent,0.015592812917987309
II,0.9860018212146984
nonevent,0.02136731263340752
II,0.6984273418830695
nonevent,0.15671712874356625
II,0.9563273434218567
II,0.6087884903991725
nonevent,0.03239592947796799
nonevent,0.2745323645772825
II,0.9815507713479282
nonevent,0.22452178906450526
nonevent,0.05045755637350391
nonevent,0.0944399884777668
II,0.9489614844459878
Ib,0.9803438348908875
nonevent,0.01873804715887628
nonevent,0.17775741332111505
nonevent,0.3080250661793499
II,0.7556495597568673
Ib,0.9868357453852209
II,0.9729013499756195
II,0.706294098537257
Ib,0.9456657860099562
nonevent,0.5793374270661588
nonevent,0.06943658187355528
nonevent,0.45084657555022867
nonevent,0.034778878296699456
II,0.7694135581287308
II,0.9460765330748862
II,0.7593673425984736
nonevent,0.006011111591508578
Ib,0.8912149827543921
Ib,0.9986561698907713
nonevent,0.507309467007373
II,0.8105434138607722
nonevent,0.0752692188027747
Ib,0.8483619936286296
nonevent,0.4431820829219224
II,0.6105134446097014
nonevent,0.09041657032434913
II,0.6608150822794192
nonevent,0.23348454186457945
nonevent,0.14951816393938788
nonevent,0.23527306133429793
nonevent,0.3997220800977541
nonevent,0.029889122506509325
nonevent,0.18655058654788115
